text,label_text,label,clean_text
قَالُوا تَقَاسَمُوا بِاللَّهِ لَنُبَيِّتَنَّهُ وَأَهْلَهُ ثُمَّ لَنَقُولَنَّ لِوَلِيِّهِ مَا شَهِدْنَا مَهْلِكَ أَهْلِهِ وَإِنَّا لَصَادِقُونَ [SEP] مَا شَهِدْنَا مَهْلِكَ أَهْلِهِ,Medium,1,قالوا تقاسموا بالله لنبيتنه واهله ثم لنقولن لوليه ما شهدنا مهلك اهله وانا لصادقون [SEP] ما شهدنا مهلك اهله
وَٱكْتُبْ لَنَا فِى هَٰذِهِ ٱلدُّنْيَا حَسَنَةً وَفِى ٱلْءَاخِرَةِ إِنَّا هُدْنَآ إِلَيْكَ ۚ قَالَ عَذَابِىٓ أُصِيبُ بِهِۦ مَنْ أَشَآءُ ۖ وَرَحْمَتِى وَسِعَتْ كُلَّ شَىْءٍ ۚ فَسَأَكْتُبُهَا لِلَّذِينَ يَتَّقُونَ وَيُؤْتُونَ ٱلزَّكَوٰةَ وَٱلَّذِينَ هُم بِـَٔايَٰتِنَا يُؤْمِنُونَ [SEP] وَٱكْتُبْ لَنَا... فَسَأَكْتُبُهَا,Medium,1,واكتب لنا فا هاذه الدنيا حسنة وفا الءاخرة انا هدنآ اليك ۚ قال عذابآ اصيب بهۦ من اشآء ۖ ورحمتا وسعت كل شاء ۚ فساكتبها للذين يتقون ويؤتون الزكواة والذين هم بـٔاياتنا يؤمنون [SEP] واكتب لنا... فساكتبها
وَٱذْكُرُوٓا۟ إِذْ جَعَلَكُمْ خُلَفَآءَ مِنۢ بَعْدِ عَادٍ وَبَوَّأَكُمْ فِى ٱلْأَرْضِ تَتَّخِذُونَ مِن سُهُولِهَا قُصُورًا وَتَنْحِتُونَ ٱلْجِبَالَ بُيُوتًا ۖ فَٱذْكُرُوٓا۟ ءَالَآءَ ٱللَّهِ وَلَا تَعْثَوْا۟ فِى ٱلْأَرْضِ مُفْسِدِينَ [SEP] وَتَنْحِتُونَ ٱلْجِبَالَ بُيُوتًا,Medium,1,واذكروٓا۟ اذ جعلكم خلفآء منۢ بعد عاد وبواكم فا الارض تتخذون من سهولها قصورا وتنحتون الجبال بيوتا ۖ فاذكروٓا۟ ءالآء الله ولا تعثوا۟ فا الارض مفسدين [SEP] وتنحتون الجبال بيوتا
يُولِجُ ٱلَّيْلَ فِى ٱلنَّهَارِ وَيُولِجُ ٱلنَّهَارَ فِى ٱلَّيْلِ وَسَخَّرَ ٱلشَّمْسَ وَٱلْقَمَرَ كُلٌّ يَجْرِى لِأَجَلٍ مُّسَمًّى ۚ ذَٰلِكُمُ ٱللَّهُ رَبُّكُمْ لَهُ ٱلْمُلْكُ ۚ وَٱلَّذِينَ تَدْعُونَ مِن دُونِهِۦ مَا يَمْلِكُونَ مِن قِطْمِيرٍ [SEP] يُولِجُ اللَّيْلَ فِي النَّهَارِ وَيُولِجُ النَّهَارَ فِي اللَّيْلِ,Medium,1,يولج اليل فا النهار ويولج النهار فا اليل وسخر الشمس والقمر كل يجرا لاجل مسما ۚ ذالكم الله ربكم له الملك ۚ والذين تدعون من دونهۦ ما يملكون من قطمير [SEP] يولج الليل في النهار ويولج النهار في الليل
قُلْ آمِنُوا بِهِ أَوْ لَا تُؤْمِنُوا ۚ إِنَّ الَّذِينَ أُوتُوا الْعِلْمَ مِن قَبْلِهِ إِذَا يُتْلَىٰ عَلَيْهِمْ يَخِرُّونَ لِلْأَذْقَانِ سُجَّدًا [SEP] يَخِرُّونَ لِلْأَذْقَانِ سُجَّدًا,High,2,قل امنوا به او لا تؤمنوا ۚ ان الذين اوتوا العلم من قبله اذا يتلا عليهم يخرون للاذقان سجدا [SEP] يخرون للاذقان سجدا
وَأَخْذِهِمُ ٱلرِّبَوٰا۟ وَقَدْ نُهُوا۟ عَنْهُ وَأَكْلِهِمْ أَمْوَٰلَ ٱلنَّاسِ بِٱلْبَٰطِلِ ۚ وَأَعْتَدْنَا لِلْكَٰفِرِينَ مِنْهُمْ عَذَابًا أَلِيمًا [SEP] وَأَكْلِهِمْ أَمْوَٰلَ ٱلنَّاسِ بِٱلْبَٰطِلِ,Medium,1,واخذهم الربواا۟ وقد نهوا۟ عنه واكلهم اموال الناس بالباطل ۚ واعتدنا للكافرين منهم عذابا اليما [SEP] واكلهم اموال الناس بالباطل
يَوْمَئِذٍ تُحَدِّثُ أَخْبَارَهَا [SEP] يَوْمَئِذٍ تُحَدِّثُ أَخْبَارَهَا,Medium,1,يومئذ تحدث اخبارها [SEP] يومئذ تحدث اخبارها
أُوْلَٰئِكَ يُسَارِعُونَ فِي الْخَيْرَاتِ وَهُمْ لَهَا سَابِقُونَ [SEP] يُسَارِعُونَ فِي الْخَيْرَاتِ,Medium,1,اولائك يسارعون في الخيرات وهم لها سابقون [SEP] يسارعون في الخيرات
إِن تَمْسَسْكُمْ حَسَنَةٌ تَسُؤْهُمْ وَإِن تُصِبْكُمْ سَيِّئَةٌ يَفْرَحُوا۟ بِهَا...  [SEP] إِن تَمْسَسْكُمْ حَسَنَةٌ,Medium,1,ان تمسسكم حسنة تسؤهم وان تصبكم سيئة يفرحوا۟ بها...  [SEP] ان تمسسكم حسنة
نَاصِيَةٍ كَاذِبَةٍ خَاطِئَةٍ [SEP] نَاصِيَةٍ كَاذِبَةٍ خَاطِئَةٍ,Medium,1,ناصية كاذبة خاطئة [SEP] ناصية كاذبة خاطئة
ٱشْتَرَوْا۟ بِـَٔايَٰتِ ٱللَّهِ ثَمَنًا قَلِيلًا فَصَدُّوا۟ عَن سَبِيلِهِۦٓ ۚ إِنَّهُمْ سَآءَ مَا كَانُوا۟ يَعْمَلُونَ [SEP] اشْتَرَوْا بِآيَاتِ اللَّهِ ثَمَنًا قَلِيلًا,Medium,1,اشتروا۟ بـٔايات الله ثمنا قليلا فصدوا۟ عن سبيلهۦٓ ۚ انهم سآء ما كانوا۟ يعملون [SEP] اشتروا بايات الله ثمنا قليلا
وَدَّ ٱلَّذِينَ كَفَرُوا۟ لَوْ تَغْفُلُونَ عَنْ أَسْلِحَتِكُمْ وَأَمْتِعَتِكُمْ فَيَمِيلُونَ عَلَيْكُم مَّيْلَةً وَٰحِدَةً [SEP] فَيَمِيلُونَ عَلَيْكُم مَّيْلَةً وَٰحِدَةً,Medium,1,ود الذين كفروا۟ لو تغفلون عن اسلحتكم وامتعتكم فيميلون عليكم ميلة واحدة [SEP] فيميلون عليكم ميلة واحدة
أَشِحَّةً عَلَيْكُمْ ۖ فَإِذَا جَاءَ الْخَوْفُ رَأَيْتَهُمْ يَنظُرُونَ إِلَيْكَ تَدُورُ أَعْيُنُهُمْ كَالَّذِي يُغْشَىٰ عَلَيْهِ مِنَ الْمَوْتِ ۖ فَإِذَا ذَهَبَ الْخَوْفُ سَلَقُوكُم بِأَلْسِنَةٍ حِدَادٍ أَشِحَّةً عَلَى الْخَيْرِ ۚ أُولَٰئِكَ لَمْ يُؤْمِنُوا فَأَحْبَطَ اللَّهُ أَعْمَالَهُمْ ۚ وَكَانَ ذَٰلِكَ عَلَى اللَّهِ يَسِيرًا [SEP] سَلَقُوكُم بِأَلْسِنَةٍ حِدَادٍ,Medium,1,اشحة عليكم ۖ فاذا جاء الخوف رايتهم ينظرون اليك تدور اعينهم كالذي يغشا عليه من الموت ۖ فاذا ذهب الخوف سلقوكم بالسنة حداد اشحة علا الخير ۚ اولائك لم يؤمنوا فاحبط الله اعمالهم ۚ وكان ذالك علا الله يسيرا [SEP] سلقوكم بالسنة حداد
وَلِلَّهِ مَا فِى ٱلسَّمَٰوَٰتِ وَمَا فِى ٱلْأَرْضِ ۚ وَكَانَ ٱللَّهُ بِكُلِّ شَىْءٍ مُّحِيطًا [SEP] وَكَانَ ٱللَّهُ بِكُلِّ شَىْءٍ مُّحِيطًا,Medium,1,ولله ما فا السماوات وما فا الارض ۚ وكان الله بكل شاء محيطا [SEP] وكان الله بكل شاء محيطا
وَجَاءُوا عَلَىٰ قَمِيصِهِ بِدَمٍ كَذِبٍ ۚ قَالَ بَلْ سَوَّلَتْ لَكُمْ أَنفُسُكُمْ أَمْرًا ۖ فَصَبْرٌ جَمِيلٌ ۖ وَاللَّهُ الْمُسْتَعَانُ عَلَىٰ مَا تَصِفُونَ [SEP] بِدَمٍ كَذِبٍ,Medium,1,وجاءوا علا قميصه بدم كذب ۚ قال بل سولت لكم انفسكم امرا ۖ فصبر جميل ۖ والله المستعان علا ما تصفون [SEP] بدم كذب
يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَأْكُلُوٓا۟ أَمْوَٰلَكُم بَيْنَكُم بِٱلْبَٰطِلِ إِلَّآ أَن تَكُونَ تِجَٰرَةً عَن تَرَاضٍ مِّنكُمْ ۚ وَلَا تَقْتُلُوٓا۟ أَنفُسَكُمْ ۚ إِنَّ ٱللَّهَ كَانَ بِكُمْ رَحِيمًا [SEP] لَا تَأْكُلُوٓا۟ أَمْوَٰلَكُم,Medium,1,يآايها الذين ءامنوا۟ لا تاكلوٓا۟ اموالكم بينكم بالباطل الآ ان تكون تجارة عن تراض منكم ۚ ولا تقتلوٓا۟ انفسكم ۚ ان الله كان بكم رحيما [SEP] لا تاكلوٓا۟ اموالكم
ثُمَّ بَعَثْنَا مِن بَعْدِهِ رُسُلًا إِلَىٰ قَوْمِهِمْ فَجَاءُوهُم بِالْبَيِّنَاتِ فَمَا كَانُوا لِيُؤْمِنُوا بِمَا كَذَّبُوا بِهِ مِن قَبْلُ ۚ كَذَٰلِكَ نَطْبَعُ عَلَىٰ قُلُوبِ الْمُعْتَدِينَ [SEP] نَطْبَعُ عَلَىٰ قُلُوبِ ٱلْمُعْتَدِينَ,Medium,1,ثم بعثنا من بعده رسلا الا قومهم فجاءوهم بالبينات فما كانوا ليؤمنوا بما كذبوا به من قبل ۚ كذالك نطبع علا قلوب المعتدين [SEP] نطبع علا قلوب المعتدين
وَجَدتُّهَا وَقَوْمَهَا يَسْجُدُونَ لِلشَّمْسِ مِن دُونِ ٱللَّهِ وَزَيَّنَ لَهُمُ ٱلشَّيْطَٰنُ أَعْمَٰلَهُمْ فَصَدَّهُمْ عَنِ ٱلسَّبِيلِ فَهُمْ لَا يَهْتَدُونَ [SEP] فَصَدَّهُمْ عَنِ السَّبِيلِ,Medium,1,وجدتها وقومها يسجدون للشمس من دون الله وزين لهم الشيطان اعمالهم فصدهم عن السبيل فهم لا يهتدون [SEP] فصدهم عن السبيل
يَٰدَاوُۥدُ إِنَّا جَعَلْنَٰكَ خَلِيفَةً فِى ٱلْأَرْضِ فَٱحْكُم بَيْنَ ٱلنَّاسِ بِٱلْحَقِّ وَلَا تَتَّبِعِ ٱلْهَوَىٰ فَيُضِلَّكَ عَن سَبِيلِ ٱللَّهِ [SEP] وَلَا تَتَّبِعِ الْهَوَىٰ فَيُضِلَّكَ عَن سَبِيلِ اللَّهِ,Medium,1,ياداوۥد انا جعلناك خليفة فا الارض فاحكم بين الناس بالحق ولا تتبع الهوا فيضلك عن سبيل الله [SEP] ولا تتبع الهوا فيضلك عن سبيل الله
قَالُوٓاْ أَوَلَمۡ تَكُ تَأۡتِيكُمۡ رُسُلُكُم بِٱلۡبَيِّنَٰتِۖ قَالُواْ بَلَىٰۚ قَالُواْ فَٱدۡعُواْۗ وَمَا دُعَٰٓؤُاْ ٱلۡكَٰفِرِينَ إِلَّا فِي ضَلَٰلٍ [SEP] وَمَا دُعَاءُ الْكَافِرِينَ إِلَّا فِي ضَلَالٍ,High,2,قالوٓا اولمۡ تك تاۡتيكمۡ رسلكم بالۡبيناتۖ قالوا بلاۚ قالوا فادۡعواۗ وما دعآؤا الۡكافرين الا في ضلال [SEP] وما دعاء الكافرين الا في ضلال
فَأَيْنَ تَذْهَبُونَ [SEP] فَأَيْنَ تَذْهَبُونَ,High,2,فاين تذهبون [SEP] فاين تذهبون
قَالَ لَقَدْ ظَلَمَكَ بِسُؤَالِ نَعْجَتِكَ إِلَىٰ نِعَاجِهِ [SEP] { بِسُؤَالِ نَعْجَتِكَ إِلَىٰ نِعَاجِهِ },Medium,1,قال لقد ظلمك بسؤال نعجتك الا نعاجه [SEP] { بسؤال نعجتك الا نعاجه }
إِنِّىٓ أُرِيدُ أَن تَبُوٓأَ بِإِثْمِى وَإِثْمِكَ فَتَكُونَ مِنْ أَصْحَٰبِ ٱلنَّارِ [SEP] أَن تَبُوٓأَ بِإِثْمِى وَإِثْمِكَ,Medium,1,انآ اريد ان تبوٓا باثما واثمك فتكون من اصحاب النار [SEP] ان تبوٓا باثما واثمك
وَمَا بِكُم مِّن نِّعْمَةٍ فَمِنَ ٱللَّهِ ۖ ثُمَّ إِذَا مَسَّكُمُ ٱلضُّرُّ فَإِلَيْهِ تَجْـَٔرُونَ [SEP] ثُمَّ إِذَا مَسَّكُمُ ٱلضُّرُّ فَإِلَيْهِ تَجْـَٔرُونَ,Medium,1,وما بكم من نعمة فمن الله ۖ ثم اذا مسكم الضر فاليه تجـٔرون [SEP] ثم اذا مسكم الضر فاليه تجـٔرون
يَقْدُمُ قَوْمَهُ يَوْمَ الْقِيَامَةِ فَأَوْرَدَهُمُ النَّارَ ۖ وَبِئْسَ الْوِرْدُ الْمَوْرُودُ [SEP] فَأَوْرَدَهُمُ ٱلنَّارَ,High,2,يقدم قومه يوم القيامة فاوردهم النار ۖ وبئس الورد المورود [SEP] فاوردهم النار
أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلْحَيَوٰةَ ٱلدُّنْيَا بِٱلْءَاخِرَةِ ۖ فَلَا يُخَفَّفُ عَنْهُمُ ٱلْعَذَابُ وَلَا هُمْ يُنصَرُونَ [SEP] ٱشْتَرَوُا۟ ٱلْحَيَوٰةَ ٱلدُّنْيَا بِٱلْءَاخِرَةِ,Medium,1,او۟لآئك الذين اشتروا۟ الحيواة الدنيا بالءاخرة ۖ فلا يخفف عنهم العذاب ولا هم ينصرون [SEP] اشتروا۟ الحيواة الدنيا بالءاخرة
سَيَقُولُونَ ثَلَاثَةٌ رَابِعُهُمْ كَلْبُهُمْ وَيَقُولُونَ خَمْسَةٌ سَادِسُهُمْ كَلْبُهُمْ رَجْمًا بِالْغَيْبِ ۖ وَيَقُولُونَ سَبْعَةٌ وَثَامِنُهُمْ كَلْبُهُمْ ۚ قُلْ رَبِّي أَعْلَمُ بِعِدَّتِهِمْ مَا يَعْلَمُهُمْ إِلَّا قَلِيلٌ ۗ فَلَا تُمَارِ فِيهِمْ إِلَّا مِرَاءً ظَاهِرًا وَلَا تَسْتَفْتِ فِيهِمْ مِنْهُمْ أَحَدًا [SEP] رَجْمًا بِالْغَيْبِ,Medium,1,سيقولون ثلاثة رابعهم كلبهم ويقولون خمسة سادسهم كلبهم رجما بالغيب ۖ ويقولون سبعة وثامنهم كلبهم ۚ قل ربي اعلم بعدتهم ما يعلمهم الا قليل ۗ فلا تمار فيهم الا مراء ظاهرا ولا تستفت فيهم منهم احدا [SEP] رجما بالغيب
وَإِذَا تُتْلَىٰ عَلَيْهِ آيَاتُنَا وَلَّىٰ مُسْتَكْبِرًا كَأَن لَّمْ يَسْمَعْهَا كَأَنَّ فِي أُذُنَيْهِ وَقْرًا ۖ فَبَشِّرْهُ بِعَذَابٍ أَلِيمٍ [SEP] فَبَشِّرْهُ بِعَذَابٍ أَلِيمٍ,Medium,1,واذا تتلا عليه اياتنا ولا مستكبرا كان لم يسمعها كان في اذنيه وقرا ۖ فبشره بعذاب اليم [SEP] فبشره بعذاب اليم
قَالَ يَٰقَوْمِ أَرَءَيْتُمْ إِن كُنتُ عَلَىٰ بَيِّنَةٍ مِّن رَّبِّى وَءَاتَىٰنِى رَحْمَةً مِّنْ عِندِهِۦ فَعُمِّيَتْ عَلَيْكُمْ أَنُلْزِمُكُمُوهَا وَأَنتُمْ لَهَا كَٰرِهُونَ [SEP] فَعُمِّيَتْ عَلَيْكُمْ,Medium,1,قال ياقوم ارءيتم ان كنت علا بينة من ربا وءاتانا رحمة من عندهۦ فعميت عليكم انلزمكموها وانتم لها كارهون [SEP] فعميت عليكم
وَلَقَدْ عَلِمُوا۟ لَمَنِ ٱشْتَرَىٰهُ مَا لَهُۥ فِى ٱلْءَاخِرَةِ مِنْ خَلَٰقٍ ۚ وَلَبِئْسَ مَا شَرَوْا۟ بِهِۦٓ أَنفُسَهُمْ ۚ لَوْ كَانُوا۟ يَعْلَمُونَ [SEP] ٱشْتَرَىٰهُ ... شَرَوْا۟,Medium,1,ولقد علموا۟ لمن اشتراه ما لهۥ فا الءاخرة من خلاق ۚ ولبئس ما شروا۟ بهۦٓ انفسهم ۚ لو كانوا۟ يعلمون [SEP] اشتراه ... شروا۟
مَتَٰعٌ قَلِيلٌ ثُمَّ مَأْوَىٰهُمْ جَهَنَّمُ ۚ وَبِئْسَ ٱلْمِهَادُ [SEP] وَبِئْسَ ٱلْمِهَادُ,Medium,1,متاع قليل ثم ماواهم جهنم ۚ وبئس المهاد [SEP] وبئس المهاد
يَٰٓأَهْلَ ٱلْكِتَٰبِ لَا تَغْلُوا۟ فِى دِينِكُمْ وَلَا تَقُولُوا۟ عَلَى ٱللَّهِ إِلَّا ٱلْحَقَّ ۚ إِنَّمَا ٱلْمَسِيحُ عِيسَى ٱبْنُ مَرْيَمَ رَسُولُ ٱللَّهِ وَكَلِمَتُهُۥٓ أَلْقَىٰهَآ إِلَىٰ مَرْيَمَ وَرُوحٌ مِّنْهُ [SEP] وَكَلِمَتُهُۥٓ أَلْقَىٰهَآ إِلَىٰ مَرْيَمَ,Low,0,يآاهل الكتاب لا تغلوا۟ فا دينكم ولا تقولوا۟ علا الله الا الحق ۚ انما المسيح عيسا ابن مريم رسول الله وكلمتهۥٓ القاهآ الا مريم وروح منه [SEP] وكلمتهۥٓ القاهآ الا مريم
الَّذِينَ يُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَهُم بِالْآخِرَةِ هُمْ يُوقِنُونَ [SEP] { يُقِيمُونَ الصَّلَاةَ },Medium,1,الذين يقيمون الصلاة ويؤتون الزكاة وهم بالاخرة هم يوقنون [SEP] { يقيمون الصلاة }
قَالَ بَلْ سَوَّلَتْ لَكُمْ أَنفُسُكُمْ أَمْرًا ۖ فَصَبْرٌ جَمِيلٌ ۖ عَسَى ٱللَّهُ أَن يَأْتِيَنِى بِهِمْ جَمِيعًا ۚ إِنَّهُۥ هُوَ ٱلْعَلِيمُ ٱلْحَكِيمُ [SEP] بَلْ سَوَّلَتْ لَكُمْ أَنفُسُكُمْ أَمْرًا,Medium,1,قال بل سولت لكم انفسكم امرا ۖ فصبر جميل ۖ عسا الله ان ياتينا بهم جميعا ۚ انهۥ هو العليم الحكيم [SEP] بل سولت لكم انفسكم امرا
وَإِذِ ٱعْتَزَلْتُمُوهُمْ وَمَا يَعْبُدُونَ إِلَّا ٱللَّهَ فَأْوُۥٓا۟ إِلَى ٱلْكَهْفِ يَنشُرْ لَكُمْ رَبُّكُم مِّن رَّحْمَتِهِۦ وَيُهَيِّئْ لَكُم مِّنْ أَمْرِكُم مِّرْفَقًا [SEP] يَنشُرْ لَكُمْ رَبُّكُم مِّن رَّحْمَتِهِ,Medium,1,واذ اعتزلتموهم وما يعبدون الا الله فاوۥٓا۟ الا الكهف ينشر لكم ربكم من رحمتهۦ ويهيئ لكم من امركم مرفقا [SEP] ينشر لكم ربكم من رحمته
فَأَصَابَهُمْ سَيِّـَٔاتُ مَا عَمِلُوا۟ وَحَاقَ بِهِم مَّا كَانُوا۟ بِهِۦ يَسْتَهْزِءُونَ [SEP] فَأَصَابَهُمْ سَيِّئَاتُ مَا عَمِلُوا,Medium,1,فاصابهم سيـٔات ما عملوا۟ وحاق بهم ما كانوا۟ بهۦ يستهزءون [SEP] فاصابهم سيئات ما عملوا
